State.healthy 	 State.sick 	 State.dead 	 State.immune 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
31930 	 0 	 504254 	 504216 	 
