State.healthy 	 State.sick 	 State.dead 	 State.immune 	 
959029 	 1513 	 39900 	 39958 	 
957988 	 1514 	 40413 	 40485 	 
956926 	 1526 	 40949 	 40999 	 
955814 	 1587 	 41445 	 41554 	 
954741 	 1532 	 42004 	 42123 	 
953644 	 1534 	 42549 	 42673 	 
952550 	 1566 	 43097 	 43187 	 
951419 	 1560 	 43662 	 43759 	 
950290 	 1598 	 44189 	 44323 	 
949170 	 1584 	 44756 	 44890 	 
948102 	 1561 	 45267 	 45470 	 
946972 	 1616 	 45787 	 46025 	 
945809 	 1634 	 46318 	 46639 	 
944646 	 1622 	 46891 	 47241 	 
943439 	 1706 	 47442 	 47813 	 
942255 	 1704 	 48028 	 48413 	 
941121 	 1664 	 48641 	 48974 	 
939918 	 1705 	 49223 	 49554 	 
938685 	 1716 	 49816 	 50183 	 
937506 	 1725 	 50414 	 50755 	 
936282 	 1763 	 50978 	 51377 	 
935087 	 1736 	 51569 	 52008 	 
933824 	 1785 	 52181 	 52610 	 
932618 	 1737 	 52857 	 53188 	 
931357 	 1761 	 53465 	 53817 	 
930106 	 1781 	 54072 	 54441 	 
928844 	 1795 	 54705 	 55056 	 
927613 	 1769 	 55303 	 55715 	 
926382 	 1752 	 55920 	 56346 	 
925076 	 1857 	 56531 	 56936 	 
923803 	 1851 	 57178 	 57568 	 
922531 	 1853 	 57802 	 58214 	 
921264 	 1816 	 58440 	 58880 	 
919990 	 1819 	 59059 	 59532 	 
918639 	 1910 	 59705 	 60146 	 
917335 	 1893 	 60334 	 60838 	 
916018 	 1865 	 61022 	 61495 	 
914697 	 1863 	 61677 	 62163 	 
913309 	 1963 	 62311 	 62817 	 
911984 	 1903 	 63018 	 63495 	 
910650 	 1933 	 63637 	 64180 	 
909272 	 1972 	 64285 	 64871 	 
907873 	 1956 	 64972 	 65599 	 
906502 	 1961 	 65664 	 66273 	 
905140 	 1947 	 66353 	 66960 	 
903759 	 1981 	 67059 	 67601 	 
902357 	 2026 	 67744 	 68273 	 
901004 	 1995 	 68477 	 68924 	 
899592 	 1977 	 69186 	 69645 	 
898143 	 2038 	 69873 	 70346 	 
896718 	 2018 	 70595 	 71069 	 
895289 	 2045 	 71332 	 71734 	 
893871 	 2012 	 72061 	 72456 	 
892472 	 2015 	 72774 	 73139 	 
890981 	 2129 	 73467 	 73823 	 
889512 	 2128 	 74208 	 74552 	 
888069 	 2083 	 74921 	 75327 	 
886594 	 2072 	 75661 	 76073 	 
885100 	 2138 	 76399 	 76763 	 
883630 	 2071 	 77185 	 77514 	 
882143 	 2099 	 77929 	 78229 	 
880625 	 2151 	 78634 	 78990 	 
879200 	 2084 	 79394 	 79722 	 
877665 	 2152 	 80125 	 80458 	 
876155 	 2138 	 80875 	 81232 	 
874593 	 2213 	 81628 	 81966 	 
873083 	 2201 	 82401 	 82715 	 
871538 	 2249 	 83166 	 83447 	 
869969 	 2204 	 83952 	 84275 	 
868383 	 2230 	 84727 	 85060 	 
866818 	 2238 	 85486 	 85858 	 
865303 	 2204 	 86250 	 86643 	 
863662 	 2295 	 86987 	 87456 	 
862075 	 2249 	 87804 	 88272 	 
860484 	 2257 	 88592 	 89067 	 
858866 	 2282 	 89411 	 89841 	 
857276 	 2280 	 90226 	 90618 	 
855679 	 2281 	 91057 	 91383 	 
854071 	 2296 	 91868 	 92165 	 
852434 	 2343 	 92661 	 92962 	 
850803 	 2327 	 93475 	 93795 	 
849210 	 2261 	 94280 	 94649 	 
847551 	 2343 	 95038 	 95468 	 
845887 	 2341 	 95897 	 96275 	 
844237 	 2363 	 96724 	 97076 	 
842600 	 2360 	 97525 	 97915 	 
840930 	 2404 	 98318 	 98748 	 
839201 	 2444 	 99172 	 99583 	 
837455 	 2494 	 100056 	 100395 	 
835725 	 2461 	 100975 	 101239 	 
834042 	 2445 	 101832 	 102081 	 
832287 	 2466 	 102685 	 102962 	 
830582 	 2438 	 103544 	 103836 	 
828871 	 2421 	 104384 	 104724 	 
827154 	 2457 	 105251 	 105538 	 
825360 	 2501 	 106134 	 106405 	 
823648 	 2492 	 106963 	 107297 	 
821896 	 2521 	 107795 	 108188 	 
820124 	 2507 	 108745 	 109024 	 
818346 	 2518 	 109620 	 109916 	 
816571 	 2516 	 110519 	 110794 	 
814809 	 2524 	 111419 	 111648 	 
812978 	 2567 	 112332 	 112523 	 
811244 	 2501 	 113226 	 113429 	 
809395 	 2570 	 114127 	 114308 	 
807580 	 2598 	 115039 	 115183 	 
805750 	 2607 	 115944 	 116099 	 
803970 	 2614 	 116854 	 116962 	 
802121 	 2650 	 117746 	 117883 	 
800256 	 2669 	 118678 	 118797 	 
798428 	 2641 	 119602 	 119729 	 
796580 	 2643 	 120523 	 120654 	 
794733 	 2625 	 121452 	 121590 	 
792845 	 2669 	 122373 	 122513 	 
790946 	 2713 	 123288 	 123453 	 
789070 	 2678 	 124220 	 124432 	 
787169 	 2711 	 125130 	 125390 	 
785293 	 2683 	 126118 	 126306 	 
783426 	 2680 	 127024 	 127270 	 
781499 	 2708 	 127948 	 128245 	 
779565 	 2720 	 128878 	 129237 	 
777637 	 2726 	 129793 	 130244 	 
775752 	 2741 	 130700 	 131207 	 
773795 	 2814 	 131658 	 132133 	 
771832 	 2804 	 132611 	 133153 	 
769880 	 2794 	 133586 	 134140 	 
767916 	 2778 	 134593 	 135113 	 
765968 	 2781 	 135523 	 136128 	 
764024 	 2788 	 136494 	 137094 	 
762046 	 2816 	 137456 	 138082 	 
760040 	 2816 	 138440 	 139104 	 
758120 	 2794 	 139447 	 140039 	 
756078 	 2834 	 140453 	 141035 	 
754083 	 2815 	 141448 	 142054 	 
752068 	 2832 	 142464 	 143036 	 
750084 	 2791 	 143450 	 144075 	 
747997 	 2899 	 144407 	 145097 	 
745915 	 2975 	 145402 	 146108 	 
743876 	 2954 	 146434 	 147136 	 
741810 	 2962 	 147481 	 148147 	 
739794 	 2910 	 148514 	 149182 	 
737682 	 2975 	 149513 	 150230 	 
735601 	 2922 	 150561 	 151316 	 
733525 	 2959 	 151568 	 152348 	 
731457 	 2993 	 152570 	 153380 	 
729309 	 3038 	 153613 	 154440 	 
727238 	 2982 	 154693 	 155487 	 
725070 	 2998 	 155743 	 156589 	 
722993 	 2995 	 156816 	 157596 	 
720892 	 3006 	 157906 	 158596 	 
718733 	 3061 	 158946 	 159660 	 
716619 	 3028 	 159986 	 160767 	 
714438 	 3118 	 161050 	 161794 	 
712232 	 3117 	 162152 	 162899 	 
710078 	 3082 	 163303 	 163937 	 
707929 	 3065 	 164343 	 165063 	 
705785 	 3124 	 165451 	 166040 	 
703600 	 3149 	 166524 	 167127 	 
701437 	 3097 	 167628 	 168238 	 
699224 	 3147 	 168712 	 169317 	 
696986 	 3170 	 169838 	 170406 	 
694778 	 3110 	 170999 	 171513 	 
692555 	 3149 	 172106 	 172590 	 
690310 	 3222 	 173200 	 173668 	 
688112 	 3132 	 174352 	 174804 	 
685915 	 3162 	 175461 	 175862 	 
683713 	 3125 	 176549 	 177013 	 
681497 	 3211 	 177611 	 178081 	 
679196 	 3264 	 178730 	 179210 	 
676946 	 3254 	 179852 	 180348 	 
674626 	 3317 	 181005 	 181452 	 
672271 	 3354 	 182167 	 182608 	 
670030 	 3303 	 183305 	 183762 	 
667710 	 3304 	 184481 	 184905 	 
665334 	 3379 	 185661 	 186026 	 
663078 	 3223 	 186849 	 187250 	 
660776 	 3258 	 187974 	 188392 	 
658511 	 3264 	 189088 	 189537 	 
656184 	 3310 	 190215 	 190691 	 
653755 	 3420 	 191369 	 191856 	 
651401 	 3385 	 192577 	 193037 	 
649124 	 3307 	 193749 	 194220 	 
646756 	 3353 	 194928 	 195363 	 
644365 	 3421 	 196068 	 196546 	 
642061 	 3356 	 197251 	 197732 	 
639641 	 3402 	 198469 	 198888 	 
637262 	 3442 	 199617 	 200079 	 
634820 	 3458 	 200806 	 201316 	 
632433 	 3407 	 202059 	 202501 	 
629988 	 3495 	 203226 	 203691 	 
627601 	 3416 	 204446 	 204937 	 
625172 	 3434 	 205648 	 206146 	 
622720 	 3457 	 206864 	 207359 	 
620329 	 3428 	 208048 	 208595 	 
617887 	 3449 	 209256 	 209808 	 
615413 	 3452 	 210481 	 211054 	 
612968 	 3443 	 211658 	 212331 	 
610573 	 3448 	 212839 	 213540 	 
608137 	 3461 	 214082 	 214720 	 
605558 	 3585 	 215296 	 215961 	 
603074 	 3516 	 216604 	 217206 	 
600579 	 3509 	 217856 	 218456 	 
598119 	 3518 	 219077 	 219686 	 
595644 	 3542 	 220287 	 220927 	 
593176 	 3556 	 221542 	 222126 	 
590598 	 3653 	 222706 	 223443 	 
588090 	 3636 	 223964 	 224710 	 
585572 	 3638 	 225220 	 225970 	 
583051 	 3624 	 226499 	 227226 	 
580483 	 3695 	 227752 	 228470 	 
577924 	 3645 	 229050 	 229781 	 
575416 	 3620 	 230287 	 231077 	 
572785 	 3718 	 231518 	 232379 	 
570198 	 3694 	 232777 	 233731 	 
567628 	 3648 	 234081 	 235043 	 
565013 	 3702 	 235373 	 236312 	 
562422 	 3724 	 236666 	 237588 	 
559785 	 3702 	 238006 	 238907 	 
557213 	 3691 	 239276 	 240220 	 
554573 	 3726 	 240564 	 241537 	 
551910 	 3779 	 241871 	 242840 	 
549292 	 3752 	 243214 	 244142 	 
546626 	 3829 	 244549 	 245396 	 
543891 	 3827 	 245932 	 246750 	 
541248 	 3756 	 247284 	 248112 	 
538553 	 3777 	 248613 	 249457 	 
535867 	 3818 	 249942 	 250773 	 
533271 	 3748 	 251289 	 252092 	 
530584 	 3867 	 252575 	 253374 	 
527835 	 3892 	 253944 	 254729 	 
525187 	 3743 	 255303 	 256167 	 
522459 	 3851 	 256603 	 257487 	 
519758 	 3858 	 257975 	 258809 	 
517045 	 3876 	 259292 	 260187 	 
514420 	 3758 	 260681 	 261541 	 
511644 	 3917 	 261987 	 262852 	 
508877 	 3933 	 263351 	 264239 	 
506089 	 3952 	 264728 	 265631 	 
503311 	 3961 	 266073 	 267055 	 
500600 	 3941 	 267405 	 268454 	 
497884 	 3946 	 268725 	 269845 	 
495078 	 3964 	 270126 	 271232 	 
492296 	 3948 	 271521 	 272635 	 
489533 	 3944 	 272940 	 273983 	 
486732 	 3991 	 274316 	 275361 	 
483904 	 3995 	 275718 	 276783 	 
481021 	 4005 	 277168 	 278206 	 
478234 	 3965 	 278558 	 279643 	 
475443 	 3982 	 279970 	 281005 	 
472627 	 4075 	 281367 	 282331 	 
469753 	 4057 	 282782 	 283808 	 
466892 	 4053 	 284211 	 285244 	 
464051 	 4075 	 285624 	 286650 	 
461234 	 4072 	 287025 	 288069 	 
458343 	 4184 	 288418 	 289455 	 
455465 	 4126 	 289898 	 290911 	 
452566 	 4152 	 291347 	 292335 	 
449619 	 4179 	 292814 	 293788 	 
446696 	 4191 	 294311 	 295202 	 
443801 	 4093 	 295835 	 296671 	 
440971 	 4039 	 297273 	 298117 	 
438036 	 4195 	 298639 	 299530 	 
435073 	 4193 	 300104 	 301030 	 
432164 	 4181 	 301577 	 302478 	 
429187 	 4291 	 302994 	 303928 	 
426167 	 4296 	 304486 	 305451 	 
423290 	 4165 	 306007 	 306938 	 
420314 	 4223 	 307484 	 308379 	 
417344 	 4214 	 309014 	 309828 	 
414353 	 4223 	 310511 	 311313 	 
411354 	 4279 	 311970 	 312797 	 
408333 	 4281 	 313488 	 314298 	 
405354 	 4273 	 315001 	 315772 	 
402397 	 4219 	 316506 	 317278 	 
399346 	 4278 	 317962 	 318814 	 
396353 	 4279 	 319437 	 320331 	 
393347 	 4313 	 320961 	 321779 	 
390294 	 4327 	 322501 	 323278 	 
387351 	 4206 	 324041 	 324802 	 
384313 	 4305 	 325590 	 326192 	 
381255 	 4351 	 327036 	 327758 	 
378152 	 4414 	 328568 	 329266 	 
375097 	 4415 	 330072 	 330816 	 
372000 	 4416 	 331654 	 332330 	 
368946 	 4383 	 333250 	 333821 	 
365866 	 4412 	 334763 	 335359 	 
362818 	 4322 	 336331 	 336929 	 
359690 	 4408 	 337818 	 338484 	 
356590 	 4400 	 339338 	 340072 	 
353490 	 4427 	 340865 	 341618 	 
350307 	 4483 	 342410 	 343200 	 
347151 	 4460 	 344018 	 344771 	 
344028 	 4468 	 345564 	 346340 	 
340913 	 4452 	 347138 	 347897 	 
337761 	 4469 	 348705 	 349465 	 
334630 	 4494 	 350240 	 351036 	 
331420 	 4538 	 351831 	 352611 	 
328228 	 4521 	 353438 	 354213 	 
325014 	 4570 	 355003 	 355813 	 
321907 	 4541 	 356611 	 357341 	 
318773 	 4495 	 358176 	 358956 	 
315550 	 4519 	 359769 	 360562 	 
312387 	 4494 	 361336 	 362183 	 
309113 	 4635 	 362906 	 363746 	 
305895 	 4555 	 364573 	 365377 	 
302626 	 4603 	 366203 	 366968 	 
299356 	 4655 	 367837 	 368552 	 
296155 	 4564 	 369475 	 370206 	 
292883 	 4645 	 371064 	 371808 	 
289642 	 4626 	 372694 	 373438 	 
286344 	 4678 	 374324 	 375054 	 
283106 	 4649 	 375972 	 376673 	 
279771 	 4674 	 377689 	 378266 	 
276451 	 4721 	 379321 	 379907 	 
273225 	 4668 	 380966 	 381541 	 
269940 	 4722 	 382563 	 383175 	 
266595 	 4719 	 384262 	 384824 	 
263359 	 4665 	 385948 	 386428 	 
260025 	 4667 	 387588 	 388120 	 
256721 	 4711 	 389197 	 389771 	 
253302 	 4800 	 390852 	 391446 	 
249958 	 4828 	 392481 	 393133 	 
246501 	 4879 	 394189 	 394831 	 
243089 	 4820 	 395891 	 396600 	 
239770 	 4755 	 397591 	 398284 	 
236474 	 4778 	 399251 	 399897 	 
233015 	 4854 	 400968 	 401563 	 
229663 	 4846 	 402675 	 403216 	 
226213 	 4952 	 404338 	 404897 	 
222788 	 4853 	 406130 	 406629 	 
219487 	 4776 	 407820 	 408317 	 
216074 	 4875 	 409494 	 409957 	 
212650 	 4910 	 411208 	 411632 	 
209125 	 4982 	 412974 	 413319 	 
205743 	 4866 	 414685 	 415106 	 
202323 	 4930 	 416381 	 416766 	 
198873 	 4958 	 418035 	 418534 	 
195418 	 4977 	 419758 	 420247 	 
191991 	 4969 	 421468 	 421972 	 
188483 	 4970 	 423196 	 423751 	 
185003 	 5036 	 424898 	 425463 	 
181547 	 5024 	 426631 	 427198 	 
178098 	 4981 	 428358 	 428963 	 
174644 	 4938 	 430109 	 430709 	 
171109 	 5003 	 431842 	 432446 	 
167603 	 4972 	 433612 	 434213 	 
164069 	 5049 	 435325 	 435957 	 
160539 	 4996 	 437079 	 437786 	 
157030 	 5028 	 438863 	 439479 	 
153453 	 5082 	 440623 	 441242 	 
149916 	 5021 	 442416 	 443047 	 
146474 	 4996 	 444097 	 444833 	 
142917 	 5054 	 445822 	 446607 	 
139348 	 5087 	 447549 	 448416 	 
135734 	 5142 	 449359 	 450165 	 
132130 	 5119 	 451231 	 451920 	 
128503 	 5141 	 453037 	 453719 	 
125156 	 4914 	 454798 	 455532 	 
122136 	 4498 	 456547 	 457219 	 
119710 	 3752 	 458160 	 458778 	 
117501 	 3318 	 459476 	 460105 	 
115343 	 3109 	 460706 	 461242 	 
113318 	 2946 	 461808 	 462328 	 
